rdfs:label	skos:prefLabel	skos:definition	skos:note	skos:example	class_uri	rdf:type	term_iri
nameAccordingTo	Name According To	"The reference to the source in which the specific taxon concept circumscription is defined or implied - traditionally signified by the Latin ""sensu"" or ""sec."" (from secundum, meaning ""according to""). For taxa that result from identifications, a reference to the keys, monographs, experts and other sources should be given."	This term provides context to the dwc:scientificName. Together with the dwc:scientificName, separated by `sensu` or `sec.`, it forms the taxon concept label, which may be seen as having the same relationship to dwc:taxonConceptID as, for example, dwc:acceptedNameUsage has to dwc:acceptedNameUsageID. When not provided, in Taxon Core data sets the dwc:nameAccordingTo can be taken to be the data set. In this case the data set mostly provides sufficient context to infer the delimitation of the taxon and its relationship with other taxa. In Occurrence Core data sets, when not provided, dwc:nameAccordingTo can be an underlying taxonomy of the data set, e.g. Plants of the World Online (http://powo.science.kew.org/) for vascular plant records in iNaturalist (in which case it should be provided), or, which is the case for most dwc:PreservedSpecimen data sets, the dwc:Identification, in which case there is no further context.	`Franz NM, Cardona-Duque J (2013) Description of two new species and phylogenetic reassessment of Perelleschus Wibmer & Oâ€™Brien, 1986 (Coleoptera: Curculionidae), with a complete taxonomic concept history of Perelleschus sec. Franz & Cardona-Duque, 2013. Syst Biodivers. 11: 209â€“236.` (as the full citation of the Franz & Cardona-Duque (2013) in Perelleschus splendida sec. Franz & Cardona-Duque (2013))	http://rs.tdwg.org/dwc/terms/Taxon	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/nameAccordingTo
namePublishedIn	Name Published In	A reference for the publication in which the dwc:scientificName was originally established under the rules of the associated dwc:nomenclaturalCode.	A citation of the first publication of the name in its given combination, not the basionym / original name. Recombinations are often not published in zoology, in which case dwc:namePublishedIn should be empty.	`Pearson O. P., and M. I. Christie. 1985. Historia Natural, 5(37):388`; `Forel, Auguste, Diagnosies provisoires de quelques espÃ¨ces nouvelles de fourmis de Madagascar, rÃ©coltÃ©es par M. Grandidier., Annales de la Societe Entomologique de Belgique, Comptes-rendus des Seances 30, 1886`	http://rs.tdwg.org/dwc/terms/Taxon	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/namePublishedIn
namePublishedInYear	Name Published In Year	The four-digit year in which the dwc:scientificName was published.		`1915`; `2008`	http://rs.tdwg.org/dwc/terms/Taxon	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/namePublishedInYear
higherClassification	Higher Classification	A list (concatenated and separated) of taxa names terminating at the rank immediately superior to the referenced dwc:Taxon.	Recommended best practice is to separate the values in a list with space vertical bar space (` | `), with terms in order from the highest taxonomic rank to the lowest.	`Plantae | Tracheophyta | Magnoliopsida | Ranunculales | Ranunculaceae | Ranunculus`; `Animalia`; `Animalia | Chordata | Vertebrata | Mammalia | Theria | Eutheria | Rodentia | Hystricognatha | Hystricognathi | Ctenomyidae | Ctenomyini | Ctenomys`	http://rs.tdwg.org/dwc/terms/Taxon	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/higherClassification
kingdom	Kingdom	The full scientific name of the kingdom in which the dwc:Taxon is classified.		`Animalia`; `Archaea`; `Bacteria`; `Chromista`; `Fungi`; `Plantae`; `Protozoa`; `Viruses`	http://rs.tdwg.org/dwc/terms/Taxon	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/kingdom
phylum	Phylum	The full scientific name of the phylum or division in which the dwc:Taxon is classified.		`Chordata` (phylum); `Bryophyta` (division)	http://rs.tdwg.org/dwc/terms/Taxon	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/phylum
class	Class	The full scientific name of the class in which the dwc:Taxon is classified.		`Mammalia`; `Hepaticopsida`	http://rs.tdwg.org/dwc/terms/Taxon	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/class
order	Order	The full scientific name of the order in which the dwc:Taxon is classified.		`Carnivora`; `Monocleales`	http://rs.tdwg.org/dwc/terms/Taxon	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/order
superfamily	Superfamily	The full scientific name of the superfamily in which the dwc:Taxon is classified.	A taxonomic category subordinate to an order and superior to a family. According to ICZN article 29.2, the suffix `-oidea` is used for a superfamily name.	`Achatinoidea`; `Cerithioidea`; `Helicoidea`; `Hypsibioidea`; `Valvatoidea`; `Zonitoidea`	http://rs.tdwg.org/dwc/terms/Taxon	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/superfamily
family	Family	The full scientific name of the family in which the dwc:Taxon is classified.		`Felidae`; `Monocleaceae`	http://rs.tdwg.org/dwc/terms/Taxon	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/family
subfamily	Subfamily	The full scientific name of the subfamily in which the dwc:Taxon is classified.		`Periptyctinae`; `Orchidoideae`; `Sphindociinae`	http://rs.tdwg.org/dwc/terms/Taxon	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/subfamily
tribe	Tribe	The full scientific name of the tribe in which the dwc:Taxon is classified.		`Ortaliini`; `Arethuseae`	http://rs.tdwg.org/dwc/terms/Taxon	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/tribe
subtribe	Subtribe	The full scientific name of the subtribe in which the dwc:Taxon is classified.		`Plotinini`; `Typhaeini`	http://rs.tdwg.org/dwc/terms/Taxon	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/subtribe
genus	Genus	The full scientific name of the genus in which the dwc:Taxon is classified.		`Puma`; `Monoclea`	http://rs.tdwg.org/dwc/terms/Taxon	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/genus
genericName	Generic Name	The genus part of the dwc:scientificName without authorship.	For synonyms the accepted genus and the genus part of the name may be different. The term dwc:genericName should be used together with dwc:specificEpithet to form a binomial and with dwc:infraspecificEpithet to form a trinomial. The term dwc:genericName should only be used for combinations. Uninomials of generic rank do not have a dwc:genericName.	`Felis` (for scientificName `Felis concolor`, with accompanying values of `Puma concolor` in acceptedNameUsage and `Puma` in genus)	http://rs.tdwg.org/dwc/terms/Taxon	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/genericName
subgenus	Subgenus	The full scientific name of the subgenus in which the dwc:Taxon is classified. Values should include the genus to avoid homonym confusion.		`Strobus`; `Amerigo`; `Pilosella`	http://rs.tdwg.org/dwc/terms/Taxon	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/subgenus
infragenericEpithet	Infrageneric Epithet	The infrageneric part of a binomial name at ranks above species but below genus.	The term dwc:infragenericEpithet should be used in conjunction with dwc:genericName, dwc:specificEpithet, dwc:infraspecificEpithet, dwc:taxonRank and dwc:scientificNameAuthorship to represent the individual elements of the complete dwc:scientificName. It can be used to indicate the subgenus placement of a species, which in zoology is often given in parentheses. Can also be used to share infrageneric names such as botanical sections (e.g., `Vicia sect. Cracca`).	`Abacetillus` (for scientificName `Abacetus (Abacetillus) ambiguus`); `Cracca` (for scientificName `Vicia sect. Cracca`)	http://rs.tdwg.org/dwc/terms/Taxon	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/infragenericEpithet
specificEpithet	Specific Epithet	The name of the first or species epithet of the dwc:scientificName.		`concolor`; `gottschei`	http://rs.tdwg.org/dwc/terms/Taxon	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/specificEpithet
infraspecificEpithet	Infraspecific Epithet	The name of the lowest or terminal infraspecific epithet of the dwc:scientificName, excluding any rank designation.	In botany, name strings in literature and identifications may have multiple infraspecific ranks. According to the International Code of Nomenclature for algae, fungi, and plants (Schenzhen Code Articles 6.7 & Art. 24.1), valid names only have two epithets, with the lowest rank being the dwc:infraspecificEpithet. For example: the dwc:infraspecificEpithet in the string `Indigofera charlieriana subsp. sessilis var. scaberrima` is `scaberrima` and the dwc:scientificName is `Indigofera charlieriana var. scaberrima (Schinz) J.B.Gillett`. Use dwc:verbatimIdentification for the full name string used in a dwc:Identification.	`concolor` (for scientificName `Puma concolor concolor (Linnaeus, 1771)`); `oxyadenia` (for scientificName `Quercus agrifolia var. oxyadenia (Torr.) J.T. Howell`); `laxa` (for scientificName `Cheilanthes hirta f. laxa (Kunze) W.Jacobsen & N.Jacobsen`); `scaberrima` (for scientificName `Indigofera charlieriana var. scaberrima (Schinz) J.B.Gillett`)	http://rs.tdwg.org/dwc/terms/Taxon	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/infraspecificEpithet
cultivarEpithet	Cultivar Epithet	Part of the name of a cultivar, cultivar group or grex that follows the dwc:scientificName.	According to the Rules of the Cultivated Plant Code, a cultivar name consists of a botanical name followed by a cultivar epithet. The value given as the dwc:cultivarEpithet should exclude any quotes. The term dwc:taxonRank should be used to indicate which type of cultivated plant name (e.g. cultivar, cultivar group, grex) is concerned. This epithet, including any enclosing apostrophes or suffix, should be provided in dwc:scientificName as well.	`King Edward` (for scientificName `Solanum tuberosum 'King Edward'` and taxonRank `cultivar`); `Mishmiense` (for scientificName `Rhododendron boothii Mishmiense Group` and taxonRank `cultivar group`); `Atlantis` (for scientificName `Paphiopedilum Atlantis grex` and taxonRank `grex`)	http://rs.tdwg.org/dwc/terms/Taxon	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/cultivarEpithet
taxonRank	Taxon Rank	The taxonomic rank of the most specific name in the dwc:scientificName.	Recommended best practice is to use a controlled vocabulary. The taxon ranks of algae, fungi and plants are defined in the International Code of Nomenclature for algae, fungi, and plants (Schenzhen Code Articles H3.2, H4.4 and H.3.1).	`subspecies`; `varietas`; `forma`; `species`; `genus`; `nothogenus`; `nothospecies`; `nothosubspecies`	http://rs.tdwg.org/dwc/terms/Taxon	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/taxonRank
verbatimTaxonRank	Verbatim Taxon Rank	The taxonomic rank of the most specific name in the dwc:scientificName as it appears in the original record.		`Agamospecies`; `sub-lesus`; `prole`; `apomict`; `nothogrex`; `sp.`; `subsp.`; `var.`	http://rs.tdwg.org/dwc/terms/Taxon	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/verbatimTaxonRank
scientificNameAuthorship	Scientific Name Authorship	The authorship information for the dwc:scientificName formatted according to the conventions of the applicable dwc:nomenclaturalCode.		`(Torr.) J.T. Howell`; `(MartinovskÃ½) Tzvelev`; `(GyÃ¶rfi, 1952)`	http://rs.tdwg.org/dwc/terms/Taxon	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/scientificNameAuthorship
vernacularName	Vernacular Name	A common or vernacular name.		`Andean Condor`; `Condor Andino`; `American Eagle`; `GÃ¤nsegeier`	http://rs.tdwg.org/dwc/terms/Taxon	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/vernacularName
nomenclaturalCode	Nomenclatural Code	The nomenclatural code (or codes in the case of an ambiregnal name) under which the dwc:scientificName is constructed.	Recommended best practice is to use a controlled vocabulary.	`ICN`; `ICZN`; `BC`; `ICNCP`; `BioCode`	http://rs.tdwg.org/dwc/terms/Taxon	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/nomenclaturalCode
taxonomicStatus	Taxonomic Status	The status of the use of the dwc:scientificName as a label for a taxon. Requires taxonomic opinion to define the scope of a dwc:Taxon. Rules of priority then are used to define the taxonomic status of the nomenclature contained in that scope, combined with the experts opinion. It must be linked to a specific taxonomic reference that defines the concept.	Recommended best practice is to use a controlled vocabulary.	`invalid`; `misapplied`; `homotypic synonym`; `accepted`	http://rs.tdwg.org/dwc/terms/Taxon	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/taxonomicStatus
nomenclaturalStatus	Nomenclatural Status	The status related to the original publication of the name and its conformance to the relevant rules of nomenclature. It is based essentially on an algorithm according to the business rules of the code. It requires no taxonomic opinion.		`nom. ambig.`; `nom. illeg.`; `nom. subnud.`	http://rs.tdwg.org/dwc/terms/Taxon	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/nomenclaturalStatus
taxonRemarks	Taxon Remarks	Comments or notes about the taxon or name.		`this name is a misspelling in common use`	http://rs.tdwg.org/dwc/terms/Taxon	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/taxonRemarks
