csvw:table,dcterms:title,csvw:column,skos:description,csvw:datatype,csvw:format,skos:note,skos:example,vann:preferredNamespacePrefix,iri,csvw:required,dsd:isUnique,csvw:minLength
relationship,Relationship,subjectResourceTypeVocabulary,The reference to the controlled vocabulary where the definition of the value for subjectResourceType is given.,string,default,,,gum,,,,
relationship,Relationship,relationshipType,The relationship of the subject resource (identified by subjectresourceID) to the related resource (identified by relatedResourceID).,string,default,,,dwc,http://rs.tdwg.org/dwc/terms/relationshipOfResource,,,
relationship,Relationship,relationshipTypeIRI,The IRI of the controlled vocabulary value for the type of Relationship.,string,default,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,gum,,,,
relationship,Relationship,relationshipTypeVocabulary,The reference to the controlled vocabulary where the definition of the value for relationshipType is given.,string,default,,,gum,,,,
relationship,Relationship,relatedResourceID,An identifier for the related resource (the object) of a Relationship.,string,default,,,dwc,http://rs.tdwg.org/dwc/terms/relatedResourceID,True,False,
relationship,Relationship,relatedResourceType,The category that best matches the nature of a related resource.,string,default,Recommended best practice is to use a controlled vocabulary consisting of the classes of resources that can be related to each other.,`Agent`; `AgentRole`; `Assertion`; `ChronometricAge`; `Citation`; `Collection`; `Event`; `GeneticSequence`; `GeologicalContext`; `Identification`; `Identifier``; `Inventory`; `Material`; `Media`; `Occurrence`; `OrganismInteraction`; `PhylogeneticTree`; `Taxon`; `TaxonDistribution`,gum,,,,
relationship,Relationship,relatedResourceTypeIRI,The IRI of the controlled vocabulary value for the type of related resource.,string,default,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,gum,,,,
relationship,Relationship,relatedResourceTypeVocabulary,The reference to the controlled vocabulary where the definition of the value for relatedResourceType is given.,string,default,,,gum,,,,
relationship,Relationship,relationshipOrder,"The numerical position of a Relationship in a set of Relationships that have the same combination of subjectResourceID, relatedResourceID, relationshipType, relationshipType, and relationshipTypeVocabulary.",integer,default,"One could use relationshipOrder to create an ordered list of authors for a Citation, for example. The first would have relationshipOrder=1, the second would have relationshipOrder=2.",`1`; `2`; `3`,gum,,False,,1.0
relationship,Relationship,relationshipAccordingTo,The name of an Agent responsible for asserting a Relationship.,string,default,,"`José E. Crespo`; `Oliver P. Pearson | Anita K. Pearson`, `FMNH`",dwc,http://rs.tdwg.org/dwc/terms/relationshipAccordingTo,,,
relationship,Relationship,relationshipAccordingToID,An identifier for an Agent responsible for asserting a Relationship.,string,default,Recommended best practice is to use a globally unique identifier.,"`https://orcid.org/0000-0002-1825-0097`, `https://ror.org/00mh9zx15`",gum,,,,
relationship,Relationship,relationshipEffectiveDate,The date on which a Relationship was established.,string,default,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,`14:07-0600` (2:07pm in the time zone six hours earlier than UTC); `08:40:21Z` (8:40:21am UTC); `13:00:00Z/15:30:00Z` (the interval between 1pm UTC and 3:30pm UTC),dwc,http://rs.tdwg.org/dwc/terms/relationshipEstablishedDate,,,
relationship,Relationship,relationshipRemarks,Comments or notes about a Relationship.,string,default,,,dwc,http://rs.tdwg.org/dwc/terms/relationshipRemarks,,,
survey-agent-role,SurveyAgentRole,agentID,An identifier for an Agent.,string,default,Recommended best practice is to use a globally unique identifier.,,gum,,True,False,
survey-agent-role,SurveyAgentRole,surveyID,An identifier for a Survey.,string,default,,,gum,,True,False,
survey-agent-role,SurveyAgentRole,agentRole,The category that best matches the nature of a role of an Agent.,string,default,Recommended best practice is to use a controlled vocabulary for the roles appropriate to the class of resource an AgentRole is related to.,`collector`; `preparator`; `organizer`; `author`; `creator`; `owner`; `observer`; `director`; `husband`,gum,,,,
survey-agent-role,SurveyAgentRole,agentRoleIRI,The IRI of the controlled vocabulary value for the role of an Agent.,string,default,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,gum,,,,
survey-agent-role,SurveyAgentRole,agentRoleVocabulary,The reference to the controlled vocabulary where the definition of the value for agentRole is given.,string,default,,,gum,,,,
survey-agent-role,SurveyAgentRole,agentRoleOrder,"The numerical position of an AgentRole in a set of AgentRoles that have the same combination of agentRole, agentRoleIRI, agentRoleVocabulary and related target.",integer,default,"One could use agentRoleOrder to create an ordered list of collectors (agentRole = 'collector') for a dwc:MaterialEntity, for example. The first would have agentRoleOrder=1, the second would have agentRoleOrder=2.",`1`; `2`; `3`,gum,,False,,1.0
survey-agent-role,SurveyAgentRole,agentRoleDate,The interval during which an AgentRole was in effect.,string,default,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,`2024-07-29`,gum,,,,
survey-assertion,SurveyAssertion,assertionID,An identifier for an Assertion.,string,default,Recommended best practice is to use a globally unique identifier.,,dwc,http://rs.tdwg.org/dwc/terms/measurementID,True,True,
survey-assertion,SurveyAssertion,surveyID,An identifier for a Survey.,string,default,,,gum,,True,False,
survey-assertion,SurveyAssertion,assertionType,The category that best matches the nature of an Assertion.,string,default,,`mass`; `mean mass`; `weight standard deviation`; `minimum organism quantity`; `water temperature`; `salinity`,gum,,,,
survey-assertion,SurveyAssertion,assertionTypeIRI,The IRI of the controlled vocabulary value for the type of Assertion.,string,default,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,gum,,,,
survey-assertion,SurveyAssertion,assertionTypeVocabulary,The reference to the controlled vocabulary where the definition of the value for assertionType is given.,string,default,,,gum,,,,
survey-assertion,SurveyAssertion,assertionMadeDate,The date on which an Assertion was created.,string,default,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,`2024-07-29`,gum,,,,
survey-assertion,SurveyAssertion,assertionEffectiveDate,The date on which the state or measurement of an Assertion was deemed to first be in effect.,string,default,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,`2024-07-29`,gum,http://rs.tdwg.org/dwc/terms/measurementDeterminedDate,,,
survey-assertion,SurveyAssertion,assertionValue,"An asserted value, if it is not numeric.",string,default,,`UV-light`,gum,,,,
survey-assertion,SurveyAssertion,assertionValueIRI,The IRI of the controlled vocabulary value for the value of an Assertion.,string,default,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,`https://vocab.nerc.ac.uk/collection/S10/current/S103/`,gum,,,,
survey-assertion,SurveyAssertion,assertionValueVocabulary,The reference to the controlled vocabulary where the definition of the value for assertionValue is given.,string,default,,`https://vocab.nerc.ac.uk/collection/S10/current/`,gum,,,,
survey-assertion,SurveyAssertion,assertionValueNumeric,"An asserted value, if it is numeric.",number,default,,`0`; `1`; `14.5`,gum,,,,
survey-assertion,SurveyAssertion,assertionUnit,The units associated with the value in assertionValueNumeric.,string,default,"Recommended best practice is to use a controlled vocabulary such as the Ontology of Units of Measure http://www.wurvoc.org/vocabularies/om-1.8/ of SI units, derived units, or other non-SI units accepted for use within the SI. For units that are composed of multiple parts, use the patterns as given in ""A Primer for Communicating Mathematics via Plain Text"" (https://cse.sc.edu/~fenner/latex-ASCII.pdf) by Stephen Fenner (e.g., `g/cm^3` for grams per cubic centimeter). For other units, provide the value as a recognizable standard (e.g., '%') or written out in full and in the plural (e.g., `individuals`). It is fine to provide non-SI units in the original language of the dataset.",`m`; `g`; `l`; `s`; `°C`; `mm`; `km²`; `%`; `hh:mm:ss`,gum,http://rs.tdwg.org/dwc/terms/measurementUnit,,,
survey-assertion,SurveyAssertion,assertionUnitIRI,The IRI for the units associated with the value in assertionValueNumeric.,string,default,,,gum,,,,
survey-assertion,SurveyAssertion,assertionUnitVocabulary,The reference to the controlled vocabulary in which the definition of the value in assertionUnit is given.,string,default,,,gum,,,,
survey-assertion,SurveyAssertion,assertionBy,"A list (concatenated and separated) of names of people, groups, or organizations who made an Assertion.",string,default,,"`José E. Crespo`; `Oliver P. Pearson | Anita K. Pearson`, `FMNH`",dwc,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,,,
survey-assertion,SurveyAssertion,assertionByID,An identifier for an Agent who made an Assertion.,string,default,Recommended best practice is to use a globally unique identifier.,`https://orcid.org/0000-0002-1825-0097` (for an individual); `https://orcid.org/0000-0002-1825-0097 | https://orcid.org/0000-0002-1825-0098` (for a list of people),gum,,,,
survey-assertion,SurveyAssertion,assertionProtocol,"The names of, references to, or descriptions of the methods or protocols used in making an Assertion.",string,default,,,gum,http://rs.tdwg.org/dwc/terms/measurementMethod,,,
survey-assertion,SurveyAssertion,assertionProtocolID,An identifier for a Protocol used to make an Assertion.,string,default,,,gum,http://rs.tdwg.org/dwc/iri/measurementMethod,,,
survey-assertion,SurveyAssertion,assertionCitation,"A list (concatenated and separated) of identifiers (publication, bibliographic reference, global unique identifier, URI) of literature associated with an Assertion.",string,default,Recommended best practice is to separate the values in a list with space vertical bar space (` | `).,"`http://www.sciencemag.org/cgi/content/abstract/322/5899/261`; `Christopher J. Conroy, Jennifer L. Neuwald. 2008. Phylogeographic study of the California vole, Microtus californicus Journal of Mammalogy, 89(3):755-767.`; `Steven R. Hoofer and Ronald A. Van Den Bussche. 2001. Phylogenetic Relationships of Plecotine Bats and Allies Based on Mitochondrial Ribosomal Sequences. Journal of Mammalogy 82(1):131-137. | Walker, Faith M., Jeffrey T. Foster, Kevin P. Drees, Carol L. Chambers. 2014. Spotted bat (Euderma maculatum) microsatellite discovery using illumina sequencing. Conservation Genetics Resources.`",gum,,,,
survey-assertion,SurveyAssertion,assertionRemarks,Comments or notes about an Assertion.,string,default,,,gum,http://rs.tdwg.org/dwc/terms/measurementRemarks,,,
survey-citation,SurveyCitation,citationID,An identifier for a Citation.,string,default,,,gum,,True,True,
survey-citation,SurveyCitation,surveyID,An identifier for a Survey.,string,default,"Recommended best practice is to use a persistent, globally unique identifier.",,dwc,gum,True,False,
survey-citation,SurveyCitation,citationType,The category that best matches the nature of a Citation.,string,default,,,gum,,,,
survey-citation,SurveyCitation,citationTypeIRI,The IRI of the controlled vocabulary value for the type of Citation.,string,default,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,gum,,,,
survey-citation,SurveyCitation,citationTypeVocabulary,The reference to the controlled vocabulary where the definition of the value for citationType is given.,string,default,,,gum,,,,
survey-citation,SurveyCitation,bibliographicCitation,A bibliographic reference for the resource.,string,default,"From Dublin Core, 'Recommended practice is to include sufficient bibliographic detail to identify the resource as unambiguously as possible.' The intended usage of this term in Darwin Core is to provide the preferred way to cite the resource itself. Note that the intended usage of dcterms:references in Darwin Core, by contrast, is to point to the definitive source representation of the resource, if one is available.","`Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Mamm:165861?seid=101356. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal.` (Occurrence example); `https://www.gbif.org/species/2439608 Source: GBIF Taxonomic Backbone` (Taxon example); `Rand, K.M., Logerwell, E.A. The first demersal trawl survey of benthic fish and invertebrates in the Beaufort Sea since the late 1970s. Polar Biol 34, 475–488 (2011). https://doi.org/10.1007/s00300-010-0900-2` (Event example)",dcterms,http://purl.org/dc/terms/bibliographicCitation,,,
survey-citation,SurveyCitation,pageNumber,The number of the page on which the citation occurs in the cited reference.,string,default,"From Dublin Core, 'Recommended practice is to include sufficient bibliographic detail to identify the resource as unambiguously as possible.' The intended usage of this term in Darwin Core is to provide the preferred way to cite the resource itself. Note that the intended usage of dcterms:references in Darwin Core, by contrast, is to point to the definitive source representation of the resource, if one is available.","`Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Mamm:165861?seid=101356. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal.` (Occurrence example); `https://www.gbif.org/species/2439608 Source: GBIF Taxonomic Backbone` (Taxon example); `Rand, K.M., Logerwell, E.A. The first demersal trawl survey of benthic fish and invertebrates in the Beaufort Sea since the late 1970s. Polar Biol 34, 475–488 (2011). https://doi.org/10.1007/s00300-010-0900-2` (Event example)",gum,,,,
survey-citation,SurveyCitation,referenceID,An identifier for the reference in which a Citation occurs.,string,default,,,gum,,,,
survey-citation,SurveyCitation,referenceType,The category that best matches the nature of a reference.,string,default,,`book`; `journal article`; `field notes`,gum,,,,
survey-citation,SurveyCitation,referenceTypeIRI,The IRI of the controlled vocabulary value for the type of reference.,string,default,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,gum,,,,
survey-citation,SurveyCitation,referenceTypeVocabulary,The reference to the controlled vocabulary where the definition of the value for referenceType is given.,string,default,,,gum,,,,
survey-citation,SurveyCitation,referenceYear,The year the reference in a Citation was published.,integer,default,,`2024`,gum,,,,
survey-citation,SurveyCitation,isPeerReviewed,An indication of whether the reference for a Citation was peer reviewed.,boolean,default,,`true`; `false`,gum,,,,
survey-citation,SurveyCitation,citationRemarks,Comments or notes about a Citation.,string,default,,`true`; `false`,gum,,,,
survey-identifier,SurveyIdentifier,identifier,An unambiguous reference to a resource within a given context.,string,default,Recommended best practice is to identify a resource by means of a string conforming to a formal identification system.,,dcterms,http://purl.org/dc/terms/identifier,True,False,
survey-identifier,SurveyIdentifier,surveyID,An identifier for a Survey.,string,default,,,gum,,True,False,
survey-identifier,SurveyIdentifier,identifierType,The category or system that best matches the nature of an Identifier.,string,default,,,gum,,,,
survey-identifier,SurveyIdentifier,identifierTypeIRI,The IRI of the controlled vocabulary value for the type of Identifier.,string,default,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,gum,,,,
survey-identifier,SurveyIdentifier,identifierTypeVocabulary,The reference to the controlled vocabulary where the definition of the value for identifierType is given.,string,default,,,gum,,,,
survey-identifier,SurveyIdentifier,identifierLanguage,A language in which an Identifier is presented.,string,default,Recommended best prectice is to use an ISO639-2 three-letter language code.,`eng` (for Modern English); `spa` (for Castilian Standard Spanish),gum,,,,
survey-protocol,SurveyProtocol,protocolID,An identifier for a Protocol.,string,default,,,gum,,True,False,
survey-protocol,SurveyProtocol,surveyID,An identifier for a Survey.,string,default,,,gum,,True,False,
survey-target,SurveyTarget,surveyTargetID,An identifier for a SurveyTarget.,string,default,,,gum,,True,False,
survey-target,SurveyTarget,surveyID,An identifier for a dwc:Event that is an biotic survey.,string,default,,,gum,,True,False,
survey-target,SurveyTarget,surveyTargetType,The type of scope a SurveyTarget describes.,string,default,Recommended best practice is to use a controlled vocabulary.,`taxon`; `habitat`; `establishmentMeans`; `growthForm`; `sex`; `lifeStage`,gum,,,,
survey-target,SurveyTarget,surveyTargetTypeIRI,The IRI of the controlled vocabulary value for the type of survey target.,string,default,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,gum,,,,
survey-target,SurveyTarget,surveyTargetTypeVocabulary,The reference to the controlled vocabulary where the definition of the value for surveyTargetType is given.,string,default,,,gum,,,,
survey-target,SurveyTarget,surveyTargetValue,The value of a characteristic sought for the surveyTarget for a given surveyTargetType.,string,default,Recommended best practice is to use a controlled vocabulary.,`Aves`; `oak savannah`; `native`; `tree`; `female`; `adult`; `height`; `weight`,gum,,,,
survey-target,SurveyTarget,surveyTargetValueIRI,The IRI of the controlled vocabulary value for the type of survey target value.,string,default,,,gum,,,,
survey-target,SurveyTarget,surveyTargetValueVocabulary,The reference to the controlled vocabulary where the definition of the value for surveyTargetValue is given.,string,default,,,gum,,,,
survey-target,SurveyTarget,surveyTargetUnit,The units associated with the surveyTargetValue.,string,default,Recommended best practice is to use a controlled vocabulary.,`m`; `g`; `years`,gum,,,,
survey-target,SurveyTarget,surveyTargetUnitIRI,The IRI of the controlled vocabulary value for the type of survey target unit.,string,default,,,gum,,,,
survey-target,SurveyTarget,surveyTargetUnitVocabulary,The reference to the controlled vocabulary where the definition of the value for surveyTargetUnit is given.,string,default,,,gum,,,,
survey-target,SurveyTarget,includeOrExclude,A term to declare whether an instance of the SurveyTarget is an included scope or an excluded scope. Combinations of SurveyTarget records of inclusions and exclusions can define complex scopes such as all flying adult Aves except Passeriformes.,string,default,Recommended best practice is use a controlled vocabulary consisting of 'include' and 'exclude' only.,`include`; `exclude`,gum,,True,False,
survey-target,SurveyTarget,isSurveyTargetFullyReported,"A declaration of whether the counts for an instance of the SurveyTarget report everything that matches the declared SurveyTarget. If they do, this enables inference of absence of detection for everything in that SurveyTarget that is included but that does not appear in the count.",boolean,default,,`true`; `false`,gum,,True,False,
survey,Survey,surveyID,An identifier for a Survey.,string,default,,,gum,,True,True,
survey,Survey,eventID,An identifier for a dwc:Event.,string,default,Recommended best practice is to use a globally unique identifier.,,gum,http://rs.tdwg.org/dwc/terms/eventID,True,False,
survey,Survey,siteCount,Total number of individual sites surveyed during a dwc:Event.,integer,default,Site refers to the location at which observations are made or samples/measurements are taken. The site can be at any level of hierarchy.,`1`; `15`,eco,http://rs.tdwg.org/eco/terms/siteCount,False,,1.0
survey,Survey,siteNestingDescription,Textual description of a hierarchical sampling design.,string,default,Site refers to the location at which observations are made or samples/measurements are taken. The site can be at any level of hierarchy.,`5 sampling sites of 3-5 plots each`,eco,http://rs.tdwg.org/eco/terms/siteNestingDescription,,,
survey,Survey,verbatimSiteDescriptions,Original textual description of site(s).,string,default,Site refers to the location at which observations are made or samples/measurements are taken. The site can be at any level of hierarchy. Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ).,"`Wet flatwoods | Wet depression surrounded by mesic longleaf pine flatwoods | Ground cover of thick Andropogon spp., Sporobolus floridanus, Vaccinium spp, Rhynchospora spp., Centella erecta, Panicum rigidulum.`",eco,http://rs.tdwg.org/eco/terms/verbatimSiteDescriptions,,,
survey,Survey,verbatimSiteNames,A list (concatenated and separated) of original site names.,string,default,Site refers to the location at which observations are made or samples/measurements are taken. The site can be at any level of hierarchy. Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ).,`East Coastal Fringe | St. Marks Wildlife Management Area`; `S1 | S2 | C1 | C2 | R14 | R22 | W1`,eco,http://rs.tdwg.org/eco/terms/verbatimSiteNames,,,
survey,Survey,geospatialScopeAreaValue,The numeric value for the total area of a geospatial scope of a dwc:Event.,number,default,Geospatial scope refers to a dwc:Event location reported using the terms organized in Darwin Core under dcterms:Location. This area is always greater than or equal to the eco:totalAreaSampledValue. An eco:geospatialScopeAreaValue must have a corresponding eco:geospatialScopeAreaUnit.,`25`,eco,http://rs.tdwg.org/eco/terms/geospatialScopeAreaValue,False,,0.0
survey,Survey,geospatialScopeAreaUnit,The units associated with eco:geospatialScopeAreaValue,string,default,"Recommended best practice is to use a controlled vocabulary. For units containing exponents, use characters from the Unicode Latin-1 Supplement character set (hex 00B2 for squared and 00B3 for cubed). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",`km²`,eco,http://rs.tdwg.org/eco/terms/geospatialScopeAreaUnit,,,
survey,Survey,totalAreaSampledValue,The numeric value for the total area surveyed during a dwc:Event.,number,default,This area is always less than or equal to the eco:geospatialScopeAreaValue. An eco:totalAreaSampledValue must have a corresponding eco:totalAreaSampledUnit.,`0.8`,eco,http://rs.tdwg.org/eco/terms/totalAreaSampledValue,False,,0.0
survey,Survey,totalAreaSampledUnit,The units associated with eco:totalAreaSampledValue,string,default,"Recommended best practice is to use a controlled vocabulary. For units containing exponents, use characters from the Unicode Latin-1 Supplement character set (hex 00B2 for squared and 00B3 for cubed). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",`km²`,eco,http://rs.tdwg.org/eco/terms/totalAreaSampledUnit,,,
survey,Survey,reportedWeather,A list of weather or climatic conditions present during a dwc:Event.,string,default,Recommended best practice is to use a key:value encoding schema for a data interchange format such as JSON.,"{""minimumTemperatureInDegreesFahrenheit"": 18, ""maximumTemperatureInDegreesFahrenheit"": 32}",eco,http://rs.tdwg.org/eco/terms/reportedWeather,,,
survey,Survey,reportedExtremeConditions,A description of any extreme weather or environmental conditions that may have affected a dwc:Event.,string,default,,`flooding during week 3 of surveys`; `rockslide at site 2`,eco,http://rs.tdwg.org/eco/terms/reportedExtremeConditions,,,
survey,Survey,eventDurationValue,The numeric value for the duration of a dwc:Event.,number,default,,`An eco:eventDurationValue must have a corresponding eco:eventDurationUnit.`,eco,http://rs.tdwg.org/eco/terms/eventDurationValue,False,,0.0
survey,Survey,eventDurationUnit,The units associated with the eco:eventDurationValue.,string,default,"Recommended best practice is to use a controlled vocabulary. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",`minutes`; `hours`; `days`; `months`; `years`,eco,http://rs.tdwg.org/eco/terms/eventDurationUnit,,,
survey,Survey,taxonCompletenessReported,Statement about whether the taxonomic completeness of a dwc:Event was assessed.,string,default,"This term is meant to alert users that the inventory was conducted in such a way that all of the target taxa (the combination of eco:targetTaxonomicScope and eco:excludedTaxonomicScope) should have been detectable if they were present during a dwc:Event. This term can provide data users with a qualitative measure of how comprehensively an area has been surveyed, which assists in interpreting species populations, areas of occupancy, inferring species absences, etc. This term is only relevant if a dwc:Event used restricted search or open search methods. If taxonomic completeness was assessed, the methods used or an explanation of the basis of the completeness should be stated in eco:taxonCompletenessProtocols. Recommended best practice is to use controlled value strings from the controlled vocabulary designated for use with this term, listed at http://rs.tdwg.org/dwc/doc/tcr/. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",`notReported`; `reportedComplete`; `reportedIncomplete`,eco,http://rs.tdwg.org/eco/terms/taxonCompletenessReported,,,
survey,Survey,taxonCompletenessProtocols,"A description of or reference (publication, URL) to the methods used to determine eco:taxonCompletenessReported.",string,default,"This term allows users to determine how comprehensively an area has been sampled. Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",`census | based on sampling effort`; `based on species accumulation curves`,eco,http://rs.tdwg.org/eco/terms/taxonCompletenessProtocols,,,
survey,Survey,isAbsenceReported,Taxonomic absences were reported.,boolean,default,Absences can be reported at any taxonomic level.,`true`; `false`,eco,http://rs.tdwg.org/eco/terms/isAbsenceReported,,,
survey,Survey,absentTaxa,A list (concatenated and separated) of taxa reported absent during a dwc:Event.,string,default,"Absences can be reported at any taxonomic level. Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",`Parabuteo unicinctus | Geranoaetus melanoleucus`; `Cetoniinae | Aclopinae | Cyclocephala modesta`,eco,http://rs.tdwg.org/eco/terms/absentTaxa,,,
survey,Survey,hasNonTargetTaxa,One or more dwc:Organisms of taxa outside the target taxonomic scope (the combination of eco:targetTaxonomicScope and eco:excludedTaxonomicScope) were detected and reported for this dwc:Event.,boolean,default,"This term is meant to alert users to the presence of non-target taxa (in some disciplines called “bycatch”) reported in this dwc:Event. This term is relevant only if a target taxonomic scope is declared. Taxonomic scope is based on the combination of eco:targetTaxonomicScope and eco:excludedTaxonomicScope. Examination of the taxonomic scope is needed in order to identify the non-target taxa. It should be possible to confirm the expectations by investigating a dwc:Occurrences in this dwc:Event and in its child dwc:Events (if available) or by exploring eco:nonTargetTaxa for this dwc:Event (if populated). The value of this term should be 'true' if dwc:Occurrences of taxa outside the taxonomic scope as defined at the time of a dwc:Event are reported, otherwise the value of this term should be 'false'.",`true`; `false`,eco,http://rs.tdwg.org/eco/terms/hasNonTargetTaxa,,,
survey,Survey,nonTargetTaxa,A list (concatenated and separated) of taxa reported during a dwc:Event that are outside of the target taxonomic scope (the combination of eco:targetTaxonomicScope and eco:excludedTaxonomicScope).,string,default,"This term is meant to allow the full list of taxa that are considered outside of the taxonomic scope and yet were reported in the dataset to be shared. This term is relevant only if a target taxonomic scope is declared and eco:hasNonTargetTaxa is ‘true’. Taxonomic scope is based on the combination of eco:targetTaxonomicScope and eco:excludedTaxonomicScope. Non-target taxa (in some disciplines called “bycatch”) can be reported at any taxonomic level. Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",`Parabuteo unicinctus | Geranoaetus melanoleucus`; `Cetoniinae | Aclopinae | Cyclocephala modesta`,eco,http://rs.tdwg.org/eco/terms/nonTargetTaxa,,,
survey,Survey,areNonTargetTaxaFullyReported,"Every dwc:Organism that was outside of the target taxonomic scope (the combination of eco:targetTaxonomicScope and eco:excludedTaxonomicScope) and detected during a dwc:Event, and that was detectable using the given protocol (given in eco:protocolDescriptions and dwc:samplingProtocol), was reported.",boolean,default,"This term is meant to inform a user of the data whether there were non-target taxa that were detected, but left unreported. This term is only relevant if a dwc:Event used restricted search or open search methods and if a target taxonomic scope is declared. Taxonomic scope is based on the combination of eco:targetTaxonomicScope and eco:excludedTaxonomicScope. Within dwc:Events that used either a restricted search or an open search method and declared a taxonomic scope, if all dwc:Organisms that are not included within the target taxonomic scope and that were detected during a dwc:Event were reported, the value of this term should be 'true', otherwise the value of this term should be ‘false'.",`true`; `false`,eco,http://rs.tdwg.org/eco/terms/areNonTargetTaxaFullyReported,,,
survey,Survey,hasNonTargetOrganisms,"One or more dwc:Organisms outside the target organismal scopes (eco:targetDegreeOfEstablishmentScope, eco:targetGrowthFormScope, and eco:targetLifeStageScope) were detected and reported for this dwc:Event.",boolean,default,"This term is meant to alert users to the presence of non-target organisms (in some disciplines called “bycatch”) reported in this dwc:Event. This term is relevant only if a target organismal scope is declared. Organismal scope is based on the combination of all of the following terms: eco:targetLifeStageScope, eco:excludedLifeStageScope, eco:targetDegreeOfEstablishmentScope, eco:excludedDegreeOfEstablishmentScope, eco:targetGrowthFormScope, and eco:excludedGrowthFormScope. Examination of the organismal scope is needed in order to identify the non-target dwc:Organisms. It should be possible to confirm the expectations by investigating a dwc:Occurrences in this dwc:Event and in its child dwc:Events (if available). The value of this term should be 'true' if dwc:Occurrences of dwc:Organisms outside the organismal scope(s) as defined at the time of a dwc:Event are reported, otherwise the value of this term should be 'false'.",`true`; `false`,eco,http://rs.tdwg.org/eco/terms/hasNonTargetOrganisms,,,
survey,Survey,verbatimTargetScope,The verbatim original description of a dwc:Event scope.,string,default,"Recommended best practice is first to populate explicit scope terms to the fullest extent possible (e.g., eco:targetTaxonomicScope). It is not recommended to use this term in assessing absence or completeness.","`small mammals`; `freshwater macroinvertebrates`; `dead animals, ground-living insects`",gum,,,,
survey,Survey,identifiedBy,"A list (concatenated and separated) of names of people, groups, or organizations who made a taxonomic determination of a dwc:Organism.",string,default,Recommended best practice is to separate the values in a list with space vertical bar space (` | `).,`James L. Patton`; `Theodore Pappenfuss | Robert Macey`,dwc,http://rs.tdwg.org/dwc/terms/identifiedBy,,,
survey,Survey,identifiedByID,The identifier for the Agent who made a taxonomic determination of a dwc:Organism.,string,default,"Recommended best practice is to provide a single identifier that disambiguates the details of the identifying agent. If a list is used, the order of the identifiers on the list should not be assumed to convey any semantics. Recommended best practice is to separate the values in a list with space vertical bar space (` | `).",`https://orcid.org/0000-0002-1825-0097`,dwc,http://rs.tdwg.org/dwc/terms/identifiedByID,,,
survey,Survey,identificationReferences,"A list (concatenated and separated) of references (publication, global unique identifier, URI) used in a dwc:Identification.",string,default,Recommended best practice is to separate the values in a list with space vertical bar space (` | `).,"`Aves del Noroeste Patagonico. Christie et al. 2004.`; `Stebbins, R. Field Guide to Western Reptiles and Amphibians. 3rd Edition. 2003. | Irschick, D.J. and Shaffer, H.B. (1997). The polytypic species revisited: Morphological differentiation among tiger salamanders (Ambystoma tigrinum) (Amphibia: Caudata). Herpetologica, 53(1), 30-49.`",dwc,http://rs.tdwg.org/dwc/terms/identificationReferences,,,
